date,open,high,low,close,volume,change_percent,avg_vol_20d
1928-05-28,19.57,19.57,19.57,19.57,0,-1.66,0.0
1928-05-29,19.82,19.82,19.82,19.82,0,1.28,0.0
1928-05-31,20.0,20.0,20.0,20.0,0,0.91,0.0
1928-06-01,20.07,20.07,20.07,20.07,0,0.35,0.0
1928-06-04,19.8,19.8,19.8,19.8,0,-1.35,0.0
1928-06-05,19.85,19.85,19.85,19.85,0,0.25,0.0
1928-06-06,19.66,19.66,19.66,19.66,0,-0.96,0.0
1928-06-07,19.61,19.61,19.61,19.61,0,-0.25,0.0
1928-06-08,19.37,19.37,19.37,19.37,0,-1.22,0.0
1928-06-11,18.68,18.68,18.68,18.68,0,-3.56,0.0
1928-06-12,18.34,18.34,18.34,18.34,0,-1.82,0.0
1928-06-13,18.89,18.89,18.89,18.89,0,3.0,0.0
1928-06-14,19.05,19.05,19.05,19.05,0,0.85,0.0
1928-06-15,18.74,18.74,18.74,18.74,0,-1.63,0.0
1928-06-18,18.4,18.4,18.4,18.4,0,-1.81,0.0
1928-06-19,18.34,18.34,18.34,18.34,0,-0.33,0.0
1928-06-20,18.57,18.57,18.57,18.57,0,1.25,0.0
1928-06-21,18.56,18.56,18.56,18.56,0,-0.05,0.0
1928-06-22,18.54,18.54,18.54,18.54,0,-0.11,0.0
1928-06-25,18.47,18.47,18.47,18.47,0,-0.38,0.0
1928-06-26,18.68,18.68,18.68,18.68,0,1.14,0.0
1928-06-27,18.86,18.86,18.86,18.86,0,0.96,0.0
1928-06-28,19.07,19.07,19.07,19.07,0,1.11,0.0
1928-06-29,19.14,19.14,19.14,19.14,0,0.37,0.0
1928-07-02,18.98,18.98,18.98,18.98,0,-0.84,0.0
1928-07-03,19.29,19.29,19.29,19.29,0,1.63,0.0
1928-07-05,19.48,19.48,19.48,19.48,0,0.98,0.0
1928-07-06,19.39,19.39,19.39,19.39,0,-0.46,0.0
1928-07-09,19.46,19.46,19.46,19.46,0,0.36,0.0
1928-07-10,19.43,19.43,19.43,19.43,0,-0.15,0.0
1928-07-11,18.95,18.95,18.95,18.95,0,-2.47,0.0
1928-07-12,18.81,18.81,18.81,18.81,0,-0.74,0.0
1928-07-13,18.96,18.96,18.96,18.96,0,0.8,0.0
1928-07-16,18.7,18.7,18.7,18.7,0,-1.37,0.0
1928-07-17,18.8,18.8,18.8,18.8,0,0.53,0.0
1928-07-18,19.03,19.03,19.03,19.03,0,1.22,0.0
1928-07-19,18.99,18.99,18.99,18.99,0,-0.21,0.0
1928-07-20,19.03,19.03,19.03,19.03,0,0.21,0.0
1928-07-23,19.12,19.12,19.12,19.12,0,0.47,0.0
1928-07-24,19.09,19.09,19.09,19.09,0,-0.16,0.0
1928-07-25,19.2,19.2,19.2,19.2,0,0.58,0.0
1928-07-26,19.24,19.24,19.24,19.24,0,0.21,0.0
1928-07-27,19.42,19.42,19.42,19.42,0,0.94,0.0
1928-07-30,19.47,19.47,19.47,19.47,0,0.26,0.0
1928-07-31,19.43,19.43,19.43,19.43,0,-0.21,0.0
1928-08-01,19.42,19.42,19.42,19.42,0,-0.05,0.0
1928-08-02,19.33,19.33,19.33,19.33,0,-0.46,0.0
1928-08-03,19.36,19.36,19.36,19.36,0,0.16,0.0
1928-08-06,19.58,19.58,19.58,19.58,0,1.14,0.0
1928-08-07,19.49,19.49,19.49,19.49,0,-0.46,0.0
1928-08-08,19.25,19.25,19.25,19.25,0,-1.23,0.0
1928-08-09,19.3,19.3,19.3,19.3,0,0.26,0.0
1928-08-10,19.25,19.25,19.25,19.25,0,-0.26,0.0
1928-08-13,19.29,19.29,19.29,19.29,0,0.21,0.0
1928-08-14,19.13,19.13,19.13,19.13,0,-0.83,0.0
1928-08-15,19.47,19.47,19.47,19.47,0,1.78,0.0
1928-08-16,19.61,19.61,19.61,19.61,0,0.72,0.0
1928-08-17,19.64,19.64,19.64,19.64,0,0.15,0.0
1928-08-20,19.77,19.77,19.77,19.77,0,0.66,0.0
1928-08-21,20.02,20.02,20.02,20.02,0,1.26,0.0
1928-08-22,20.0,20.0,20.0,20.0,0,-0.1,0.0
1928-08-23,20.02,20.02,20.02,20.02,0,0.1,0.0
1928-08-24,20.34,20.34,20.34,20.34,0,1.6,0.0
1928-08-27,20.38,20.38,20.38,20.38,0,0.2,0.0
1928-08-28,20.54,20.54,20.54,20.54,0,0.79,0.0
1928-08-29,20.58,20.58,20.58,20.58,0,0.19,0.0
1928-08-30,20.61,20.61,20.61,20.61,0,0.15,0.0
1928-08-31,20.87,20.87,20.87,20.87,0,1.26,0.0
1928-09-04,20.97,20.97,20.97,20.97,0,0.48,0.0
1928-09-05,21.07,21.07,21.07,21.07,0,0.48,0.0
1928-09-06,20.94,20.94,20.94,20.94,0,-0.62,0.0
1928-09-07,21.09,21.09,21.09,21.09,0,0.72,0.0
1928-09-10,20.92,20.92,20.92,20.92,0,-0.81,0.0
1928-09-11,21.08,21.08,21.08,21.08,0,0.76,0.0
1928-09-12,21.16,21.16,21.16,21.16,0,0.38,0.0
1928-09-13,21.14,21.14,21.14,21.14,0,-0.09,0.0
1928-09-14,21.14,21.14,21.14,21.14,0,0.0,0.0
1928-09-17,21.33,21.33,21.33,21.33,0,0.9,0.0
1928-09-18,21.18,21.18,21.18,21.18,0,-0.7,0.0
1928-09-19,21.18,21.18,21.18,21.18,0,0.0,0.0
1928-09-20,21.22,21.22,21.22,21.22,0,0.19,0.0
1928-09-21,21.36,21.36,21.36,21.36,0,0.66,0.0
1928-09-24,21.43,21.43,21.43,21.43,0,0.33,0.0
1928-09-25,21.41,21.41,21.41,21.41,0,-0.09,0.0
1928-09-26,21.4,21.4,21.4,21.4,0,-0.05,0.0
1928-09-27,21.13,21.13,21.13,21.13,0,-1.26,0.0
1928-09-28,21.14,21.14,21.14,21.14,0,0.05,0.0
1928-10-01,21.36,21.36,21.36,21.36,0,1.04,0.0
1928-10-02,21.26,21.26,21.26,21.26,0,-0.47,0.0
1928-10-03,21.19,21.19,21.19,21.19,0,-0.33,0.0
1928-10-04,21.26,21.26,21.26,21.26,0,0.33,0.0
1928-10-05,21.22,21.22,21.22,21.22,0,-0.19,0.0
1928-10-08,21.11,21.11,21.11,21.11,0,-0.52,0.0
1928-10-09,21.18,21.18,21.18,21.18,0,0.33,0.0
1928-10-10,21.41,21.41,21.41,21.41,0,1.09,0.0
1928-10-11,21.51,21.51,21.51,21.51,0,0.47,0.0
1928-10-15,21.65,21.65,21.65,21.65,0,0.65,0.0
1928-10-16,21.72,21.72,21.72,21.72,0,0.32,0.0
1928-10-17,21.79,21.79,21.79,21.79,0,0.32,0.0
1928-10-18,21.84,21.84,21.84,21.84,0,0.23,0.0
1928-10-19,21.96,21.96,21.96,21.96,0,0.55,0.0
1928-10-22,21.81,21.81,21.81,21.81,0,-0.68,0.0
1928-10-23,21.95,21.95,21.95,21.95,0,0.64,0.0
1928-10-24,21.99,21.99,21.99,21.99,0,0.18,0.0
1928-10-25,21.91,21.91,21.91,21.91,0,-0.36,0.0
1928-10-26,21.65,21.65,21.65,21.65,0,-1.19,0.0
1928-10-29,22.0,22.0,22.0,22.0,0,1.62,0.0
1928-10-30,21.76,21.76,21.76,21.76,0,-1.09,0.0
1928-10-31,21.68,21.68,21.68,21.68,0,-0.37,0.0
1928-11-01,21.99,21.99,21.99,21.99,0,1.43,0.0
1928-11-02,21.95,21.95,21.95,21.95,0,-0.18,0.0
1928-11-05,22.24,22.24,22.24,22.24,0,1.32,0.0
1928-11-07,22.24,22.24,22.24,22.24,0,0.0,0.0
1928-11-08,22.39,22.39,22.39,22.39,0,0.67,0.0
1928-11-09,22.55,22.55,22.55,22.55,0,0.71,0.0
1928-11-12,22.84,22.84,22.84,22.84,0,1.29,0.0
1928-11-13,22.91,22.91,22.91,22.91,0,0.31,0.0
1928-11-14,22.91,22.91,22.91,22.91,0,0.0,0.0
1928-11-15,23.03,23.03,23.03,23.03,0,0.52,0.0
1928-11-16,23.37,23.37,23.37,23.37,0,1.48,0.0
1928-11-19,23.37,23.37,23.37,23.37,0,0.0,0.0
1928-11-20,23.57,23.57,23.57,23.57,0,0.86,0.0
1928-11-21,23.22,23.22,23.22,23.22,0,-1.48,0.0
1928-11-22,23.52,23.52,23.52,23.52,0,1.29,0.0
1928-11-23,23.7,23.7,23.7,23.7,0,0.77,0.0
1928-11-26,23.8,23.8,23.8,23.8,0,0.42,0.0
1928-11-27,23.91,23.91,23.91,23.91,0,0.46,0.0
1928-11-28,24.19,24.19,24.19,24.19,0,1.17,0.0
1928-11-30,24.28,24.28,24.28,24.28,0,0.37,0.0
1928-12-03,23.85,23.85,23.85,23.85,0,-1.77,0.0
1928-12-04,23.91,23.91,23.91,23.91,0,0.25,0.0
1928-12-05,23.81,23.81,23.81,23.81,0,-0.42,0.0
1928-12-06,22.91,22.91,22.91,22.91,0,-3.78,0.0
1928-12-07,22.36,22.36,22.36,22.36,0,-2.4,0.0
1928-12-10,22.31,22.31,22.31,22.31,0,-0.22,0.0
1928-12-11,22.74,22.74,22.74,22.74,0,1.93,0.0
1928-12-12,22.52,22.52,22.52,22.52,0,-0.97,0.0
1928-12-13,22.48,22.48,22.48,22.48,0,-0.18,0.0
1928-12-14,22.53,22.53,22.53,22.53,0,0.22,0.0
1928-12-17,22.44,22.44,22.44,22.44,0,-0.4,0.0
1928-12-18,22.7,22.7,22.7,22.7,0,1.16,0.0
1928-12-19,22.98,22.98,22.98,22.98,0,1.23,0.0
1928-12-20,23.07,23.07,23.07,23.07,0,0.39,0.0
1928-12-21,23.33,23.33,23.33,23.33,0,1.13,0.0
1928-12-24,23.54,23.54,23.54,23.54,0,0.9,0.0
1928-12-26,23.44,23.44,23.44,23.44,0,-0.42,0.0
1928-12-27,23.64,23.64,23.64,23.64,0,0.85,0.0
1928-12-28,23.98,23.98,23.98,23.98,0,1.44,0.0
1928-12-31,24.35,24.35,24.35,24.35,0,1.54,0.0
1929-01-02,24.81,24.81,24.81,24.81,0,1.89,0.0
1929-01-03,24.86,24.86,24.86,24.86,0,0.2,0.0
1929-01-04,24.85,24.85,24.85,24.85,0,-0.04,0.0
1929-01-07,24.25,24.25,24.25,24.25,0,-2.41,0.0
1929-01-08,24.17,24.17,24.17,24.17,0,-0.33,0.0
1929-01-09,24.54,24.54,24.54,24.54,0,1.53,0.0
1929-01-10,24.58,24.58,24.58,24.58,0,0.16,0.0
1929-01-11,24.54,24.54,24.54,24.54,0,-0.16,0.0
1929-01-14,24.59,24.59,24.59,24.59,0,0.2,0.0
1929-01-15,24.23,24.23,24.23,24.23,0,-1.46,0.0
1929-01-16,24.56,24.56,24.56,24.56,0,1.36,0.0
1929-01-17,24.69,24.69,24.69,24.69,0,0.53,0.0
1929-01-18,24.77,24.77,24.77,24.77,0,0.32,0.0
1929-01-21,24.86,24.86,24.86,24.86,0,0.36,0.0
1929-01-22,25.07,25.07,25.07,25.07,0,0.84,0.0
1929-01-23,25.22,25.22,25.22,25.22,0,0.6,0.0
1929-01-24,25.06,25.06,25.06,25.06,0,-0.63,0.0
1929-01-25,25.48,25.48,25.48,25.48,0,1.68,0.0
1929-01-28,25.35,25.35,25.35,25.35,0,-0.51,0.0
1929-01-29,25.36,25.36,25.36,25.36,0,0.04,0.0
1929-01-30,25.45,25.45,25.45,25.45,0,0.35,0.0
1929-01-31,25.74,25.74,25.74,25.74,0,1.14,0.0
1929-02-01,25.84,25.84,25.84,25.84,0,0.39,0.0
1929-02-04,25.64,25.64,25.64,25.64,0,-0.77,0.0
1929-02-05,25.7,25.7,25.7,25.7,0,0.23,0.0
1929-02-06,25.49,25.49,25.49,25.49,0,-0.82,0.0
1929-02-07,24.71,24.71,24.71,24.71,0,-3.06,0.0
1929-02-08,24.44,24.44,24.44,24.44,0,-1.09,0.0
1929-02-11,24.98,24.98,24.98,24.98,0,2.21,0.0
1929-02-13,24.95,24.95,24.95,24.95,0,-0.12,0.0
1929-02-14,24.85,24.85,24.85,24.85,0,-0.4,0.0
1929-02-15,24.35,24.35,24.35,24.35,0,-2.01,0.0
1929-02-18,24.39,24.39,24.39,24.39,0,0.16,0.0
1929-02-19,24.38,24.38,24.38,24.38,0,-0.04,0.0
1929-02-20,24.59,24.59,24.59,24.59,0,0.86,0.0
1929-02-21,24.86,24.86,24.86,24.86,0,1.1,0.0
1929-02-25,24.91,24.91,24.91,24.91,0,0.2,0.0
1929-02-26,24.95,24.95,24.95,24.95,0,0.16,0.0
1929-02-27,25.25,25.25,25.25,25.25,0,1.2,0.0
1929-02-28,25.59,25.59,25.59,25.59,0,1.35,0.0
1929-03-01,25.83,25.83,25.83,25.83,0,0.94,0.0
1929-03-04,25.49,25.49,25.49,25.49,0,-1.32,0.0
1929-03-05,25.32,25.32,25.32,25.32,0,-0.67,0.0
1929-03-06,24.92,24.92,24.92,24.92,0,-1.58,0.0
1929-03-07,25.15,25.15,25.15,25.15,0,0.92,0.0
1929-03-08,25.31,25.31,25.31,25.31,0,0.64,0.0
1929-03-11,24.95,24.95,24.95,24.95,0,-1.42,0.0
1929-03-12,24.97,24.97,24.97,24.97,0,0.08,0.0
1929-03-13,25.24,25.24,25.24,25.24,0,1.08,0.0
1929-03-14,25.73,25.73,25.73,25.73,0,1.94,0.0
1929-03-15,26.08,26.08,26.08,26.08,0,1.36,0.0
1929-03-18,26.04,26.04,26.04,26.04,0,-0.15,0.0
1929-03-19,26.03,26.03,26.03,26.03,0,-0.04,0.0
1929-03-20,26.02,26.02,26.02,26.02,0,-0.04,0.0
1929-03-21,25.9,25.9,25.9,25.9,0,-0.46,0.0
1929-03-22,25.55,25.55,25.55,25.55,0,-1.35,0.0
1929-03-25,24.51,24.51,24.51,24.51,0,-4.07,0.0
1929-03-26,24.35,24.35,24.35,24.35,0,-0.65,0.0
1929-03-27,25.09,25.09,25.09,25.09,0,3.04,0.0
1929-03-28,25.53,25.53,25.53,25.53,0,1.75,0.0
1929-04-01,24.88,24.88,24.88,24.88,0,-2.55,0.0
1929-04-02,25.17,25.17,25.17,25.17,0,1.17,0.0
1929-04-03,24.86,24.86,24.86,24.86,0,-1.23,0.0
1929-04-04,25.3,25.3,25.3,25.3,0,1.77,0.0
1929-04-05,25.05,25.05,25.05,25.05,0,-0.99,0.0
1929-04-08,24.83,24.83,24.83,24.83,0,-0.88,0.0
1929-04-09,24.63,24.63,24.63,24.63,0,-0.81,0.0
1929-04-10,24.78,24.78,24.78,24.78,0,0.61,0.0
1929-04-11,25.06,25.06,25.06,25.06,0,1.13,0.0
1929-04-12,25.15,25.15,25.15,25.15,0,0.36,0.0
1929-04-15,25.0,25.0,25.0,25.0,0,-0.6,0.0
1929-04-16,25.06,25.06,25.06,25.06,0,0.24,0.0
1929-04-17,25.32,25.32,25.32,25.32,0,1.04,0.0
1929-04-18,25.43,25.43,25.43,25.43,0,0.43,0.0
1929-04-19,25.41,25.41,25.41,25.41,0,-0.08,0.0
1929-04-22,25.7,25.7,25.7,25.7,0,1.14,0.0
1929-04-23,25.85,25.85,25.85,25.85,0,0.58,0.0
1929-04-24,25.75,25.75,25.75,25.75,0,-0.39,0.0
1929-04-25,25.63,25.63,25.63,25.63,0,-0.47,0.0
1929-04-26,25.58,25.58,25.58,25.58,0,-0.2,0.0
1929-04-29,25.53,25.53,25.53,25.53,0,-0.2,0.0
1929-04-30,25.94,25.94,25.94,25.94,0,1.61,0.0
1929-05-01,25.99,25.99,25.99,25.99,0,0.19,0.0
1929-05-02,26.11,26.11,26.11,26.11,0,0.46,0.0
1929-05-03,26.37,26.37,26.37,26.37,0,1.0,0.0
1929-05-06,26.32,26.32,26.32,26.32,0,-0.19,0.0
1929-05-07,26.07,26.07,26.07,26.07,0,-0.95,0.0
1929-05-08,26.18,26.18,26.18,26.18,0,0.42,0.0
1929-05-09,26.02,26.02,26.02,26.02,0,-0.61,0.0
1929-05-10,26.34,26.34,26.34,26.34,0,1.23,0.0
1929-05-13,25.64,25.64,25.64,25.64,0,-2.66,0.0
1929-05-14,25.95,25.95,25.95,25.95,0,1.21,0.0
1929-05-15,25.84,25.84,25.84,25.84,0,-0.42,0.0
1929-05-16,25.97,25.97,25.97,25.97,0,0.5,0.0
1929-05-17,26.09,26.09,26.09,26.09,0,0.46,0.0
1929-05-20,25.39,25.39,25.39,25.39,0,-2.68,0.0
1929-05-21,25.7,25.7,25.7,25.7,0,1.22,0.0
1929-05-22,24.76,24.76,24.76,24.76,0,-3.66,0.0
1929-05-23,25.31,25.31,25.31,25.31,0,2.22,0.0
1929-05-24,25.12,25.12,25.12,25.12,0,-0.75,0.0
1929-05-27,24.2,24.2,24.2,24.2,0,-3.66,0.0
1929-05-28,24.59,24.59,24.59,24.59,0,1.61,0.0
1929-05-29,24.62,24.62,24.62,24.62,0,0.12,0.0
1929-05-31,24.83,24.83,24.83,24.83,0,0.85,0.0
1929-06-03,25.27,25.27,25.27,25.27,0,1.77,0.0
1929-06-04,25.64,25.64,25.64,25.64,0,1.46,0.0
1929-06-05,25.59,25.59,25.59,25.59,0,-0.2,0.0
1929-06-06,25.64,25.64,25.64,25.64,0,0.2,0.0
1929-06-07,25.53,25.53,25.53,25.53,0,-0.43,0.0
1929-06-10,25.27,25.27,25.27,25.27,0,-1.02,0.0
1929-06-11,25.43,25.43,25.43,25.43,0,0.63,0.0
1929-06-12,25.45,25.45,25.45,25.45,0,0.08,0.0
1929-06-13,25.84,25.84,25.84,25.84,0,1.53,0.0
1929-06-14,25.93,25.93,25.93,25.93,0,0.35,0.0
1929-06-17,26.41,26.41,26.41,26.41,0,1.85,0.0
1929-06-18,26.42,26.42,26.42,26.42,0,0.04,0.0
1929-06-19,26.32,26.32,26.32,26.32,0,-0.38,0.0
1929-06-20,26.47,26.47,26.47,26.47,0,0.57,0.0
1929-06-21,26.62,26.62,26.62,26.62,0,0.57,0.0
1929-06-24,26.62,26.62,26.62,26.62,0,0.0,0.0
1929-06-25,26.9,26.9,26.9,26.9,0,1.05,0.0
1929-06-26,27.06,27.06,27.06,27.06,0,0.59,0.0
1929-06-27,27.11,27.11,27.11,27.11,0,0.18,0.0
1929-06-28,27.41,27.41,27.41,27.41,0,1.11,0.0
1929-07-01,27.77,27.77,27.77,27.77,0,1.31,0.0
1929-07-02,28.06,28.06,28.06,28.06,0,1.04,0.0
1929-07-03,28.18,28.18,28.18,28.18,0,0.43,0.0
1929-07-05,28.32,28.32,28.32,28.32,0,0.5,0.0
1929-07-08,28.37,28.37,28.37,28.37,0,0.18,0.0
1929-07-09,28.28,28.28,28.28,28.28,0,-0.32,0.0
1929-07-10,28.2,28.2,28.2,28.2,0,-0.28,0.0
1929-07-11,28.26,28.26,28.26,28.26,0,0.21,0.0
1929-07-12,28.57,28.57,28.57,28.57,0,1.1,0.0
1929-07-15,28.45,28.45,28.45,28.45,0,-0.42,0.0
1929-07-16,28.65,28.65,28.65,28.65,0,0.7,0.0
1929-07-17,28.72,28.72,28.72,28.72,0,0.24,0.0
1929-07-18,28.66,28.66,28.66,28.66,0,-0.21,0.0
1929-07-19,28.76,28.76,28.76,28.76,0,0.35,0.0
1929-07-22,28.43,28.43,28.43,28.43,0,-1.15,0.0
1929-07-23,28.83,28.83,28.83,28.83,0,1.41,0.0
1929-07-24,28.64,28.64,28.64,28.64,0,-0.66,0.0
1929-07-25,28.77,28.77,28.77,28.77,0,0.45,0.0
1929-07-26,28.66,28.66,28.66,28.66,0,-0.38,0.0
1929-07-29,28.18,28.18,28.18,28.18,0,-1.67,0.0
1929-07-30,28.5,28.5,28.5,28.5,0,1.14,0.0
1929-07-31,28.88,28.88,28.88,28.88,0,1.33,0.0
1929-08-01,29.08,29.08,29.08,29.08,0,0.69,0.0
1929-08-02,29.56,29.56,29.56,29.56,0,1.65,0.0
1929-08-05,29.54,29.54,29.54,29.54,0,-0.07,0.0
1929-08-06,29.43,29.43,29.43,29.43,0,-0.37,0.0
1929-08-07,29.13,29.13,29.13,29.13,0,-1.02,0.0
1929-08-08,29.47,29.47,29.47,29.47,0,1.17,0.0
1929-08-09,28.38,28.38,28.38,28.38,0,-3.7,0.0
1929-08-12,29.27,29.27,29.27,29.27,0,3.14,0.0
1929-08-13,29.53,29.53,29.53,29.53,0,0.89,0.0
1929-08-14,29.62,29.62,29.62,29.62,0,0.3,0.0
1929-08-15,29.67,29.67,29.67,29.67,0,0.17,0.0
1929-08-16,30.22,30.22,30.22,30.22,0,1.85,0.0
1929-08-19,30.5,30.5,30.5,30.5,0,0.93,0.0
1929-08-20,30.68,30.68,30.68,30.68,0,0.59,0.0
1929-08-21,30.55,30.55,30.55,30.55,0,-0.42,0.0
1929-08-22,30.79,30.79,30.79,30.79,0,0.79,0.0
1929-08-23,31.09,31.09,31.09,31.09,0,0.97,0.0
1929-08-26,31.07,31.07,31.07,31.07,0,-0.06,0.0
1929-08-27,31.05,31.05,31.05,31.05,0,-0.06,0.0
1929-08-28,30.99,30.99,30.99,30.99,0,-0.19,0.0
1929-08-29,31.29,31.29,31.29,31.29,0,0.97,0.0
1929-08-30,31.71,31.71,31.71,31.71,0,1.34,0.0
