date,open,high,low,close,volume,adjusted_close,change_percent,avg_vol_20d
2011-07-12,131.69,132.78,131.36,131.4,214675594,104.3868,-0.43,209182095.4
2011-07-13,132.09,133.22,131.519,131.84,204062500,104.7364,0.33,211356705.55
2011-07-14,132.17,132.78,130.68,130.93,226111703,104.0135,-0.69,207614396.95
2011-07-15,131.66,131.87,130.77,131.69,220124609,104.6172,0.58,203218707.1
2011-07-18,131.08,131.28,129.63,130.61,196872094,103.7592,-0.82,201312507.1
2011-07-19,131.34,132.89,131.31,132.73,166554891,105.4434,1.62,201666307.1
2011-07-20,133.07,133.15,132.42,132.65,137145297,105.3799,-0.06,198865711.8
2011-07-21,133.4,134.82,132.6693,134.49,245270297,106.8416,1.39,202284901.65
2011-07-22,134.52,134.72,133.76,134.58,126019297,106.9131,0.07,191871527.45
2011-07-25,133.3,134.49,133.16,133.83,136653703,106.3173,-0.56,187397742.3
2011-07-26,133.74,133.96,133.03,133.33,131278094,105.9201,-0.37,185516237.6
2011-07-27,132.59,132.63,130.43,130.6,249020000,103.7513,-2.05,189689422.75
2011-07-28,130.6,131.77,130.01,130.22,207939906,103.4494,-0.29,187871648.5
2011-07-29,128.91,130.55,127.9667,129.33,307042500,102.7424,-0.68,192048948.5
2011-08-01,130.84,130.96,127.53,128.78,325790781,102.3055,-0.43,198219207.85
2011-08-02,127.81,128.5,125.49,125.49,346653781,99.6918,-2.55,207255096.9
2011-08-03,125.66,126.31,123.53,126.17,371029406,100.232,0.54,218639932.05
2011-08-04,124.42,124.62,120.06,120.26,520721781,95.537,-4.68,236152811.7
2011-08-05,121.76,122.07,116.86,120.08,655561625,95.394,-0.15,259222317.95
2011-08-08,116.91,120.1218,112.02,112.26,702263812,89.1816,-6.51,284539583.55
2011-08-09,114.07,117.64,110.27,117.48,717828625,93.3285,4.65,309697235.1
2011-08-10,115.26,116.28,111.95,112.29,662607438,89.2055,-4.42,332624482.0
2011-08-11,113.26,118.92,112.317,117.33,487979719,93.2093,4.49,345717882.8
2011-08-12,118.4,119.215,117.28,118.12,313731594,93.8369,0.67,350398232.05
2011-08-15,119.19,120.74,119.0,120.62,258810594,95.823,2.12,353495157.05
2011-08-16,119.47,120.69,118.31,119.59,294095188,95.0047,-0.85,359872171.9
2011-08-17,120.25,121.2,118.72,119.67,238201109,95.0683,0.07,364924962.5
2011-08-18,116.5,119.714,113.39,114.51,512956188,90.9691,-4.31,378309257.05
2011-08-19,112.96,115.88,112.5,112.64,428281219,89.4835,-1.63,393422353.15
2011-08-22,115.17,115.23,112.41,112.73,275090594,89.555,0.08,400344197.7
2011-08-23,113.15,116.5665,112.58,116.44,331136594,92.5023,3.29,410337122.7
2011-08-24,116.19,118.24,115.92,118.08,246869703,93.8052,1.41,410229607.85
2011-08-25,118.73,119.4,115.87,116.28,312365312,92.3752,-1.52,415450878.15
2011-08-26,115.69,118.51,113.85,117.97,314495812,93.7178,1.45,415823543.75
2011-08-29,119.56,121.43,118.0569,121.36,190977203,96.4109,2.87,409082864.85
