date,splg,spy,open,high,low,close,volume,change_percent,4 WEEKS BANK DISCOUNT,4 WEEKS COUPON EQUIVALENT,8 WEEKS BANK DISCOUNT,8 WEEKS COUPON EQUIVALENT,LT COMPOSITE (>10 Yrs),LT Real Average (10> Yrs),ema_20,ema_50,rsi_14,macd,signal_line,macd_value,plus_di,minus_di,adx
2019-12-26,35.682667,304.4726,3227.2,3240.0801,3227.2,3239.9099,2160680000,0.51,1.56,1.59,1.57,1.6,2.26,0.5,3174.674241757824,3114.8208264648865,89.95297500916607,36.162668579500405,31.263404311709902,4.899264267790503,75.95875932963081,26.666833316232953,581.6211017358103
2019-12-27,35.654453,304.3972,3247.23,3247.9299,3234.3701,3240.02,2428670000,0.0,1.53,1.56,1.53,1.56,2.25,0.5,3180.897647304698,3119.7305979760677,87.67107276181369,36.941462677063555,32.39901598478063,4.5424466922829225,73.35736670717256,23.836087133278745,642.5211047085013
2019-12-30,35.485168,302.719,3240.0901,3240.9199,3216.5701,3221.29,3013290000,-0.58,1.48,1.51,1.5,1.53,2.27,0.51,3184.744538037584,3123.713319624065,81.91328621950404,35.63651260903407,33.04651530963132,2.5899972994027536,67.76767342726363,21.790635557186512,606.1887649778263
2019-12-31,35.569801,303.4544,3215.1799,3231.72,3212.03,3230.78,2893810000,0.29,1.45,1.48,1.48,1.51,2.31,0.53,3189.12886774829,3127.912012972141,85.15805021310938,34.96503876531824,33.430220000768706,1.5348187645495344,63.915175491662154,20.052360581881672,584.575894094344
2020-01-02,35.870773,306.2923,3244.6699,3258.1399,3235.53,3257.8501,3458250000,0.84,1.5,1.53,1.52,1.55,2.26,0.46,3195.673747010357,3133.0076242281352,86.84836963207489,36.19993146593606,33.98416229380218,2.215769172133882,59.97823916580865,18.218666145175067,579.4156183000135
2020-01-03,35.645054,303.9729,3226.3601,3246.1499,3222.3401,3234.8501,3461290000,-0.71,1.49,1.52,1.52,1.55,2.18,0.41,3199.404828247466,3137.001446807424,71.55301364980839,34.92014732578218,34.17135930019818,0.7487880255839983,54.647590034406335,16.79043595182582,537.6799953098152
2020-01-06,35.757923,305.1326,3217.55,3246.8401,3214.6399,3246.28,3674070000,0.35,1.51,1.54,1.51,1.54,2.2,0.44,3203.8691303191363,3141.286880265957,73.48442414058157,34.431303941606984,34.22334822847995,0.20795571312703487,50.11248463258767,15.883267513563023,493.53844425837053
2020-01-07,35.663857,304.2746,3241.8601,3244.9099,3232.4299,3237.1799,3420380000,-0.28,1.49,1.52,1.5,1.53,2.23,0.48,3207.0415845744565,3145.0473908437625,65.10129746615988,32.929993552961605,33.96467729337628,-1.0346837404146783,48.66094900486676,16.86124373759274,450.2594140505953
2020-01-08,35.851963,305.8963,3238.5901,3267.0701,3236.6699,3253.05,3720890000,0.49,1.47,1.5,1.5,1.53,2.28,0.5,3211.423338424508,3149.2827872812622,68.20882663319907,32.64447352136813,33.70063653897465,-1.0561630176065222,45.23388942501799,16.023475895149993,419.16291700426046
2020-01-09,36.115311,307.9705,3266.03,3275.5801,3263.6699,3274.7,3638390000,0.67,1.5,1.53,1.52,1.55,2.24,0.48,3217.4496871459837,3154.201109348664,72.40451414491045,33.77582422571686,33.7156740763231,0.060150149393763286,43.681787282768816,15.79008348752664,394.655967216935
2020-01-10,36.011852,307.0842,3281.8101,3282.99,3260.8601,3265.3501,3212970000,-0.29,1.49,1.52,1.52,1.55,2.21,0.43,3222.0116312273185,3158.5598932957755,66.51429899306277,33.53143945874535,33.67882715280755,-0.14738769406219632,42.435272846495394,15.622225452754634,373.5380080925129
2020-01-13,36.284592,309.1961,3271.1299,3288.1299,3268.4299,3288.1299,3456380000,0.7,1.51,1.54,1.53,1.56,2.23,0.44,3228.308609205669,3163.6410700292745,67.74515050912294,34.77503726856821,33.898069175959684,0.8769680926085286,40.59598315105504,15.421472655827529,350.7844416729161
2020-01-14,36.218761,308.7247,3285.3501,3294.25,3277.1899,3283.1499,3665130000,-0.15,1.5,1.53,1.53,1.56,2.2,0.41,3233.5315892813196,3168.3276908124403,65.50437001658443,34.955804358673504,34.10961621250245,0.8461881461710519,40.504976343371816,15.878531262261413,332.24637588318035
2020-01-15,36.29401,309.4224,3282.27,3298.6599,3280.6899,3289.29,3716840000,0.19,1.5,1.53,1.53,1.56,2.16,0.4,3238.84191411167,3173.07131078058,66.79408510722874,35.18888279840121,34.32546952968221,0.8634132687190004,40.390355706614486,16.05252448113955,318.709211960105
2020-01-16,36.61377,311.9963,3302.97,3317.1101,3302.8201,3316.8101,3535080000,0.84,1.51,1.54,1.53,1.56,2.18,0.42,3246.2674556248444,3178.708126044087,68.55518911766328,37.16581681473053,34.89353898669188,2.2722778280386535,38.58374062405936,15.39211135796311,308.45744976646046
2020-01-17,36.707817,312.9674,3323.6599,3329.8799,3318.8601,3329.6201,3698170000,0.39,1.51,1.54,1.53,1.56,2.23,0.46,3254.2058027081926,3184.626242669809,70.37105748860613,39.31303501197135,35.77743819174778,3.5355968202235744,41.41544145897839,16.489963667162865,301.0900469018149
2020-01-21,36.641983,312.3546,3321.03,3329.79,3316.6101,3320.79,4105340000,-0.27,1.49,1.52,1.51,1.54,2.16,0.41,3260.5471548312216,3189.965997859228,73.68819761146786,39.84292123474415,36.59053480034705,3.2523864343971027,43.802951967301,16.291475991726497,313.6705787561055
2020-01-22,36.641983,312.3923,3330.02,3337.77,3320.04,3321.75,3619850000,0.03,1.49,1.52,1.5,1.53,2.14,0.41,3266.375997228248,3195.1339979431796,72.57429889890425,39.88060507042337,37.24854885436232,2.632056216061052,44.27092460591543,15.36226793937168,339.5166292083556
2020-01-23,36.707817,312.7505,3315.77,3326.8799,3301.8701,3325.54,3764860000,0.11,1.52,1.55,1.54,1.57,2.1,0.38,3272.010664158891,3200.2479588081533,68.99160036384019,39.75798579558068,37.75043624260599,2.0075495529746874,41.83419691443668,14.887063178898224,323.625555367971
2020-01-24,36.359837,309.9692,3333.1001,3333.1799,3281.53,3295.47,3707130000,-0.9,1.51,1.54,1.52,1.55,2.07,0.34,3274.244886619949,3203.982156501951,66.35898836410378,36.81008766519835,37.56236652712447,-0.7522788619261149,37.93463296913177,13.79568697418278,305.5186576436726
2020-01-27,35.786125,305.0006,3247.1599,3258.8501,3234.5,3243.6299,3823100000,-1.57,1.5,1.53,1.52,1.55,1.98,0.3,3271.3291736085253,3205.536969972463,49.41289014193337,29.945600096777525,36.03901324105508,-6.093413144277555,34.29845530020928,13.327584396424333,278.60670418726073
2020-01-28,36.152924,308.1967,3255.3501,3285.78,3253.22,3276.24,3526720000,1.01,1.5,1.53,1.54,1.57,2.02,0.32,3271.796871360094,3208.30963781668,57.83708928119263,26.827555419561122,34.19672167675629,-7.369166257195168,32.43401268283515,13.534187033203205,259.66621353061856
2020-01-29,36.12471,307.9422,3289.46,3293.47,3271.8899,3273.3999,3584500000,-0.09,1.49,1.52,1.52,1.55,1.97,0.28,3271.9495407543704,3210.862197117987,54.308310570804146,23.852355112117493,32.127848363828534,-8.27549325171104,32.7614575137957,15.604009502213756,241.05342257363327
2020-01-30,36.246975,308.9416,3256.45,3285.9099,3242.8,3283.6599,3787250000,0.31,1.56,1.59,1.55,1.58,1.96,0.27,3273.064813063478,3213.717008995713,51.99303497681966,22.06799754802796,30.115878200668423,-8.047880652640462,30.53396470127617,16.105577631829597,219.96701401799734
2020-01-31,35.607437,303.3318,3282.3301,3282.3301,3214.6799,3225.52,4527830000,-1.77,1.53,1.56,1.54,1.57,1.91,0.22,3268.536735628861,3214.179871388038,42.72031722741831,15.780568715216305,27.248816303578,-11.468247588361695,27.698321465650043,15.960127821586397,198.86702594203447
2020-02-03,35.861374,305.5852,3235.6599,3268.4399,3235.6599,3248.9199,3757910000,0.73,1.53,1.56,1.54,1.57,1.92,0.26,3266.6684655689696,3215.5422254512523,42.84985907602892,12.541343632925873,24.307321769447576,-11.765978136521703,25.568693589707543,17.04962149274153,178.83047535665972
2020-02-04,36.397461,310.2427,3280.6101,3306.9199,3280.6101,3297.5901,3995320000,1.5,1.52,1.55,1.54,1.57,2.0,0.31,3269.6133831338298,3218.7597891590462,52.27132451618627,13.743091005685528,22.19447561669517,-8.45138461100964,23.847869419782654,17.157291007995042,164.44108783784068
2020-02-05,36.820686,313.8254,3324.9099,3337.5801,3313.75,3334.6899,4117730000,1.13,1.52,1.55,1.53,1.56,2.05,0.35,3275.8111466448936,3223.3060680155545,56.50726134566446,17.487542753508478,21.25308904405783,-3.765546290549352,23.74201481961841,18.32289647037583,154.38410601118602
2020-02-06,36.942947,314.8813,3344.9199,3347.96,3334.3899,3345.78,3868370000,0.33,1.56,1.59,1.56,1.59,2.02,0.32,3282.474846964428,3228.108967309062,54.35755149584716,21.10662212569514,21.223795660385292,-0.11717353469015279,29.068444168841157,26.056278423558645,144.92595854302786
2020-02-07,36.754848,313.2031,3335.54,3341.4199,3322.1201,3327.71,3730650000,-0.54,1.54,1.57,1.55,1.58,1.97,0.27,3286.7829567773397,3232.014890159687,49.71716493869907,22.26007038452235,21.431050605212704,0.8290197793096468,29.549221167389355,28.912682563965852,134.77821963416312
2020-02-10,37.027596,315.5413,3318.28,3352.26,3317.77,3352.0901,3450350000,0.73,1.55,1.58,1.55,1.58,1.95,0.25,3293.0026847033073,3236.7237219181307,54.43067683256028,24.854944429079296,22.115829369986024,2.7391150590932725,28.89723178940935,29.33825853413342,127.04905415375865
